Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
106,728,487,0.0,"{2, 72, 76, 77, 22, 25, 63}"
107,736,505,0.0009999275207519531,"{106, 42, 50, 55, 25, 93, 62}"
108,742,518,0.0,"{65, 100, 7, 106, 56, 93}"
109,754,538,0.0,"{100, 4, 45, 50, 51, 53, 56, 31}"
110,758,511,0.0,"{106, 51, 23, 56, 93, 30}"
111,769,520,0.0,"{3, 100, 6, 72, 10, 56, 93}"
112,779,531,0.0,"{97, 105, 106, 51, 22, 56, 90, 61}"
113,781,385,0.0,"{97, 72, 10, 59, 93}"
114,793,508,0.0,"{103, 106, 43, 108, 77, 83, 25}"
115,802,584,0.0,"{106, 108, 77, 45, 83, 25, 93}"
116,808,491,0.0,"{13, 77, 50, 51, 56, 92}"
117,818,421,0.0,"{97, 100, 7, 83, 19, 116, 55}"
118,831,618,0.0,"{96, 35, 4, 36, 77, 112, 83, 25, 93}"
119,837,625,0.0,"{35, 77, 47, 50, 83, 25, 58, 59}"
120,841,431,0.0,"{98, 77, 51, 83, 25, 26}"
121,852,385,0.0,"{97, 66, 77, 78, 79, 83, 84}"
122,858,499,0.0,"{2, 50, 51, 23, 56, 59}"
123,866,421,0.0,"{96, 69, 72, 10, 106, 50}"
124,877,536,0.0009999275207519531,"{72, 80, 50, 83, 119, 23, 123}"
125,885,551,0.0,"{1, 2, 76, 51, 119, 25, 63}"
126,892,479,0.0009996891021728516,"{2, 104, 106, 50, 25, 63}"
127,902,633,0.0,"{9, 10, 106, 50, 23, 56, 59}"
128,908,521,0.0,"{6, 106, 22, 119, 59, 63}"
129,921,617,0.0010001659393310547,"{96, 7, 8, 10, 13, 77, 119, 126}"
130,927,611,0.0,"{7, 106, 108, 77, 76, 59, 29}"
131,936,487,0.0,"{1, 100, 44, 77, 78, 113, 63}"
132,944,562,0.0,"{113, 83, 23, 117, 19, 119, 63}"
133,955,561,0.0,"{129, 11, 48, 50, 117, 56, 121, 59}"
134,957,398,0.0,"{76, 113, 19, 56, 127}"
135,970,497,0.0009989738464355469,"{5, 103, 10, 106, 108, 113, 59}"
136,978,479,0.0,"{128, 99, 131, 10, 54, 56, 59}"
137,987,574,0.0,"{100, 39, 77, 81, 56, 93, 127}"
138,995,517,0.0,"{105, 10, 43, 83, 22, 119, 59}"
139,1004,522,0.0,"{128, 37, 133, 77, 113, 56, 59}"
140,1015,543,0.0,"{73, 42, 76, 113, 119, 59, 93, 126}"
141,1021,566,0.0009980201721191406,"{35, 106, 112, 81, 53, 119, 56}"
142,1028,493,0.0,"{106, 138, 109, 51, 52, 56}"
143,1038,533,0.0,"{88, 50, 19, 56, 123, 93, 127}"
144,1047,534,0.0,"{100, 132, 50, 82, 119, 56, 93}"
145,1054,465,0.0,"{68, 101, 138, 76, 50, 56}"
146,1064,538,0.0,"{6, 135, 10, 50, 51, 119, 94}"
147,1073,619,0.0,"{97, 138, 10, 77, 50, 93, 31}"
148,1081,605,0.0,"{136, 10, 138, 81, 83, 56, 93}"
149,1090,542,0.0010004043579101562,"{96, 114, 51, 83, 93, 62, 127}"
150,1099,529,0.0,"{103, 138, 108, 77, 50, 52, 119}"
151,1105,480,0.0,"{100, 4, 140, 50, 59, 93}"
152,1118,641,0.0009999275207519531,"{100, 10, 108, 50, 83, 53, 86, 124}"
153,1127,624,0.0,"{34, 135, 78, 84, 119, 152, 25, 127}"
154,1132,530,0.0,"{97, 138, 77, 81, 83, 93}"
155,1144,541,0.0,"{97, 100, 48, 49, 146, 83, 152, 127}"
156,1151,568,0.0,"{96, 138, 140, 113, 83, 117, 88}"
157,1160,617,0.0009996891021728516,"{65, 138, 108, 140, 77, 112, 83}"
158,1168,584,0.0,"{34, 137, 77, 83, 152, 154, 63}"
159,1177,570,0.0,"{3, 137, 138, 77, 109, 80, 53}"
160,1190,613,0.0,"{64, 69, 70, 44, 77, 113, 31, 93, 63}"
161,1197,660,0.0,"{4, 138, 77, 109, 119, 23, 152, 63}"
162,1206,556,0.0,"{132, 106, 77, 114, 18, 117, 119, 63}"
163,1210,558,0.0,"{106, 10, 11, 77, 119, 152}"
164,1225,729,0.0,"{130, 99, 101, 138, 113, 90, 59, 29, 127}"
165,1234,642,0.0,"{4, 105, 138, 77, 53, 22, 150, 93, 63}"
166,1241,635,0.0,"{39, 10, 75, 77, 13, 83, 119, 56}"
167,1248,629,0.0,"{99, 100, 137, 138, 119, 152, 127}"
168,1256,619,0.0009996891021728516,"{162, 138, 77, 148, 23, 90, 127}"
169,1267,644,0.0010042190551757812,"{164, 10, 148, 20, 152, 56, 156, 93}"
170,1272,542,0.0,"{10, 117, 119, 56, 29, 127}"
171,1285,585,0.0,"{128, 161, 162, 10, 107, 109, 77, 152}"
172,1296,715,0.0,"{162, 99, 131, 69, 10, 44, 119, 152, 127}"
173,1299,511,0.0010004043579101562,"{77, 50, 154, 123, 127, 63}"
174,1312,565,0.0006077289581298828,"{162, 3, 101, 102, 134, 5, 119, 93}"
175,1320,582,0.0,"{135, 110, 83, 86, 119, 152, 118, 156}"
176,1327,477,0.0009999275207519531,"{32, 67, 138, 10, 77, 116, 59}"
177,1336,568,0.0,"{166, 77, 15, 113, 83, 151, 63}"
178,1349,701,0.000997304916381836,"{97, 162, 41, 177, 81, 83, 148, 84, 63}"
179,1352,527,0.0009992122650146484,"{65, 100, 83, 119, 25, 63}"
180,1363,598,0.0,"{3, 172, 177, 152, 93, 126, 127}"
181,1372,585,0.0010001659393310547,"{100, 37, 172, 13, 51, 148, 127}"
182,1383,646,0.0,"{3, 164, 138, 139, 172, 117, 122, 63}"
183,1394,712,0.0,"{162, 106, 139, 140, 173, 170, 50, 119, 123}"
184,1401,684,0.0009992122650146484,"{3, 137, 138, 171, 9, 77, 119, 56}"
185,1410,689,0.0,"{97, 162, 99, 138, 50, 117, 58, 63}"
186,1419,688,0.0009999275207519531,"{136, 138, 172, 140, 141, 50, 23, 119}"
187,1428,751,0.0,"{97, 100, 106, 138, 77, 113, 50, 152}"
188,1437,514,0.0009999275207519531,"{96, 140, 76, 111, 83, 152, 153, 95}"
189,1446,612,0.0,"{1, 166, 8, 137, 139, 108, 83, 63}"
190,1455,592,0.0,"{167, 136, 138, 76, 119, 56, 59, 62}"
191,1464,619,0.0,"{33, 164, 169, 172, 80, 83, 119, 59}"
192,1471,617,0.0009992122650146484,"{168, 139, 179, 119, 23, 152, 191}"
193,1480,563,0.0009999275207519531,"{91, 172, 141, 56, 25, 59, 190}"
194,1499,863,0.0009999275207519531,"{106, 74, 13, 113, 115, 189, 119, 56, 185, 57, 152, 127}"
195,1500,618,0.0,"{128, 68, 104, 83, 119, 56, 127, 63}"
196,1507,592,0.0,"{122, 176, 113, 119, 25, 58, 63}"
197,1518,622,0.0010001659393310547,"{143, 113, 157, 56, 59, 152, 190, 127}"
198,1527,661,0.0010027885437011719,"{166, 71, 76, 81, 119, 56, 189, 191}"
199,1534,613,0.0010018348693847656,"{97, 1, 101, 138, 51, 119, 152}"
200,1543,554,0.001001119613647461,"{64, 139, 172, 22, 56, 152, 127}"
201,1552,561,0.0,"{130, 138, 83, 56, 187, 152, 95}"
202,1563,549,0.000997304916381836,"{32, 65, 106, 177, 116, 156, 189, 63}"
203,1571,597,0.0,"{106, 172, 20, 22, 56, 152, 191}"
204,1584,660,0.0009999275207519531,"{67, 104, 201, 172, 181, 152, 59, 93, 191}"
205,1589,571,0.0,"{191, 168, 56, 25, 90, 91, 127}"
206,1602,708,0.0,"{32, 100, 136, 138, 172, 83, 152, 89, 191}"
207,1609,565,0.0,"{201, 202, 43, 77, 59, 31, 93, 191}"
208,1616,598,0.0,"{34, 3, 201, 171, 51, 119, 63}"
209,1625,629,0.0,"{3, 77, 22, 119, 187, 93, 63}"
210,1634,656,0.0,"{191, 138, 13, 113, 50, 51, 63}"
211,1644,568,0.0,"{96, 206, 51, 118, 59, 63, 191}"
212,1653,639,0.0,"{32, 138, 13, 112, 177, 119, 152}"
213,1666,738,0.0009999275207519531,"{135, 136, 201, 107, 77, 50, 152, 187, 63}"
214,1673,604,0.0010008811950683594,"{171, 172, 140, 16, 50, 180, 63, 191}"
215,1686,691,0.0009992122650146484,"{132, 135, 7, 201, 138, 10, 50, 179, 181, 26}"
216,1694,679,0.00099945068359375,"{162, 4, 137, 142, 48, 119, 56, 93, 63}"
217,1701,622,0.0,"{172, 206, 177, 115, 84, 86, 22, 127}"
218,1708,643,0.0,"{191, 76, 209, 148, 119, 187, 63}"
219,1717,557,0.0,"{96, 34, 172, 50, 83, 152, 159}"
220,1730,655,0.0,"{59, 187, 113, 118, 56, 90, 123, 124, 127}"
221,1740,644,0.0009999275207519531,"{164, 122, 154, 201, 137, 113, 183, 58, 93}"
222,1747,597,0.0,"{162, 10, 77, 143, 208, 207, 182, 220}"
223,1754,625,0.0010004043579101562,"{97, 135, 201, 10, 138, 212, 152}"
224,1765,544,0.0009999275207519531,"{10, 172, 77, 78, 125, 87, 152, 93}"
225,1777,630,0.0,"{32, 138, 10, 77, 47, 61, 119, 29, 222}"
226,1784,659,0.0,"{198, 10, 172, 143, 179, 216, 218, 221}"
227,1795,628,0.0009999275207519531,"{72, 201, 10, 206, 208, 24, 185, 59, 29}"
228,1804,610,0.0,"{129, 66, 198, 70, 172, 56, 90, 127, 191}"
229,1810,592,0.0009996891021728516,"{225, 138, 172, 45, 214, 56, 93}"
230,1821,620,0.0,"{195, 198, 10, 140, 56, 188, 29, 191}"
