Edge Probability (p),Node Count,Number of Operations,Solution,Execution Time (seconds)
0.5,1,2,"(0,)",0.001003265380859375
0.5,2,9,"(1,)",0.0
0.5,3,32,"(1, 2)",0.0
0.5,4,98,"(1, 3)",0.0
0.5,5,281,"(1, 2, 3)",0.0
0.5,6,744,"(1, 3)",0.0
0.5,7,1940,"(1, 3, 6)",0.0010440349578857422
0.5,8,4878,"(1, 3)",0.0
0.5,9,12060,"(2, 3, 6)",0.0009996891021728516
0.5,10,29211,"(0, 6, 7)",0.002003908157348633
0.5,11,69679,"(1, 7, 8, 10)",0.003000020980834961
0.5,12,163907,"(6, 7, 10)",0.0069768428802490234
0.5,13,381046,"(6, 8, 10, 12)",0.01102304458618164
0.5,14,876834,"(7, 9, 10, 13)",0.023209810256958008
0.5,15,1999065,"(6, 7, 9, 10)",0.05200028419494629
0.5,16,4522214,"(6, 7, 10, 13)",0.10999608039855957
0.5,17,10158498,"(3, 6, 10, 13)",0.20947623252868652
0.5,18,22676124,"(5, 9, 11, 12, 13, 14)",0.4203457832336426
0.5,19,50332181,"(4, 8, 10, 11, 14)",0.7994899749755859
0.5,20,111149884,"(3, 4, 8, 10, 13)",1.5642766952514648
0.5,21,244319235,"(3, 7, 9, 10)",3.119274377822876
0.5,22,534774831,"(3, 4, 6, 13, 15, 17)",6.320664644241333
0.5,23,1166017386,"(6, 7, 15, 19, 22)",12.949134111404419
0.5,24,2533361208,"(3, 7, 10, 11, 15)",25.47784948348999
0.5,25,5486151573,"(3, 6, 10, 12, 22)",50.787034034729004
0.5,26,11844716537,"(3, 9, 15, 19, 22, 25)",105.0497477054596
