Algorithm,Solution Size Rank,Total Weight Rank,Speed Rank,Average Rank
Weight to Degree,1.8,1.95,1.0,1.58
Biggest Weight First,2.4,1.96,1.11,1.82
Exhaustive,1.24,1.0,3.62,1.95
Smallest Degree First,1.53,3.51,1.0,2.01
