Algorithm,Solution Size Rank,Total Weight Rank,Speed Rank,Average Rank
Weight to Degree,1.38,1.79,1.0,1.39
Biggest Weight First,2.31,1.74,1.0,1.68
Exhaustive,1.41,1.0,3.46,1.96
Smallest Degree First,1.49,3.77,1.0,2.09
