Algorithm,Solution Size Rank,Total Weight Rank,Speed Rank,Average Rank
Weight to Degree,1.59,2.62,1.0,1.74
Biggest Weight First,3.0,2.36,1.0,2.12
Exhaustive,1.49,1.0,4.79,2.43
Monte Carlo,1.41,1.54,4.95,2.63
Smallest Degree First,1.82,5.67,1.0,2.83
Heuristic Monte Carlo,2.82,2.26,4.69,3.26
