Algorithm,Solution Size Rank,Total Weight Rank,Speed Rank,Average Rank
Weight to Degree,2.33,2.05,1.26,1.88
Exhaustive,1.27,1.0,3.82,2.03
Biggest Weight First,2.84,2.44,1.09,2.12
Smallest Degree First,2.19,3.79,1.14,2.38
