Algorithm,Solution Size Rank,Total Weight Rank,Speed Rank,Average Rank
Weight to Degree,2.02,2.04,1.21,1.76
Exhaustive,1.25,1.0,3.75,2.0
Biggest Weight First,2.55,2.4,1.06,2.0
Smallest Degree First,1.64,3.67,1.04,2.12
