Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.5,100,1226890,604,0.05211162567138672,8,"{32, 99, 9, 76, 13, 81, 29, 63}"
graph_size_200_k_0.5,200,2661501,725,0.09769463539123535,9,"{3, 139, 172, 112, 176, 150, 119, 56, 189}"
graph_size_300_k_0.5,300,4206997,759,0.14654231071472168,9,"{34, 100, 166, 135, 201, 235, 239, 152, 283}"
graph_size_400_k_0.5,400,5794386,846,0.20136094093322754,10,"{257, 164, 364, 334, 113, 83, 245, 25, 378, 127}"
graph_size_500_k_0.5,500,7418613,853,0.2649083137512207,10,"{96, 386, 7, 234, 300, 109, 140, 498, 214, 381}"
graph_size_600_k_0.5,600,9092892,888,0.3164811134338379,10,"{198, 424, 138, 461, 206, 272, 369, 371, 179, 123}"
graph_size_700_k_0.5,700,10843505,865,0.37383532524108887,10,"{96, 232, 554, 369, 371, 628, 84, 311, 283, 127}"
graph_size_800_k_0.5,800,12578648,886,0.4477207660675049,11,"{162, 610, 520, 200, 10, 234, 77, 462, 430, 306, 180}"
graph_size_900_k_0.5,900,14354646,854,0.4855928421020508,11,"{32, 326, 840, 714, 459, 428, 300, 846, 112, 371, 219}"
graph_size_1000_k_0.5,1000,16084124,943,0.5381593704223633,12,"{549, 710, 457, 395, 748, 719, 911, 369, 48, 339, 852, 923}"
graph_size_1100_k_0.5,1100,17906715,912,0.6561570167541504,11,"{471, 902, 1000, 296, 138, 1064, 810, 87, 56, 122, 667}"
graph_size_1200_k_0.5,1200,19659153,901,0.7019734382629395,11,"{439, 258, 680, 619, 971, 691, 471, 825, 698, 59, 1017}"
graph_size_1300_k_0.5,1300,21509866,967,0.7233989238739014,12,"{1092, 1030, 871, 1000, 265, 461, 1104, 1073, 1234, 850, 892, 317}"
graph_size_1400_k_0.5,1400,23354529,909,0.8040246963500977,11,"{422, 871, 76, 300, 1010, 83, 84, 1364, 726, 472, 698}"
graph_size_1500_k_0.5,1500,25233903,929,0.8429305553436279,11,"{97, 65, 932, 1156, 841, 1385, 845, 990, 152, 190, 734}"
graph_size_1600_k_0.5,1600,27105286,940,0.8948602676391602,13,"{1440, 673, 770, 201, 1419, 300, 270, 880, 220, 1017, 218, 668, 701}"
graph_size_1700_k_0.5,1700,28969333,1008,0.9710235595703125,12,"{1508, 1065, 811, 1068, 463, 210, 755, 501, 1594, 1211, 1213, 1023}"
graph_size_1800_k_0.5,1800,30887175,977,1.022341012954712,13,"{1188, 903, 1352, 1290, 1388, 173, 1007, 1234, 1363, 50, 1686, 1401, 1245}"
graph_size_1900_k_0.5,1900,32694116,927,1.0728886127471924,11,"{1312, 1322, 907, 1100, 845, 1708, 1426, 1332, 662, 825, 191}"
graph_size_2000_k_0.5,2000,34702890,981,1.1451282501220703,12,"{1477, 837, 809, 1450, 810, 1964, 1293, 459, 399, 1911, 217, 1021}"
graph_size_2100_k_0.5,2100,36548640,935,1.202129602432251,12,"{616, 169, 361, 845, 397, 2031, 623, 1295, 562, 1198, 340, 1662}"
graph_size_2200_k_0.5,2200,38418949,989,1.257988691329956,12,"{1760, 1539, 7, 1293, 1391, 752, 529, 1584, 1779, 784, 1526, 1275}"
graph_size_2300_k_0.5,2300,40428368,1009,1.3163435459136963,13,"{1858, 2148, 1702, 2248, 1706, 1452, 1324, 911, 879, 1619, 852, 2163, 604}"
graph_size_2400_k_0.5,2400,42280947,1005,1.5313570499420166,12,"{2306, 963, 2245, 1419, 76, 1613, 1681, 1682, 1268, 1048, 2267, 1341}"
graph_size_2500_k_0.5,2500,44306207,994,1.447206974029541,12,"{1209, 1988, 932, 1003, 1902, 1135, 665, 1499, 2238, 1245, 1150, 1023}"
graph_size_2600_k_0.5,2600,46246425,1039,1.5048141479492188,13,"{1440, 2496, 454, 2470, 361, 300, 685, 77, 1488, 1908, 1556, 949, 2235}"
graph_size_2700_k_0.5,2700,48236594,985,1.589944839477539,12,"{2240, 2625, 2408, 1610, 1199, 2033, 436, 340, 1396, 1112, 2012, 1694}"
graph_size_2800_k_0.5,2800,50170211,1041,1.6736440658569336,12,"{578, 2563, 2275, 135, 871, 2151, 329, 493, 110, 2575, 1011, 179}"
graph_size_2900_k_0.5,2900,52199751,1015,1.6902337074279785,13,"{2778, 1889, 1251, 1544, 778, 717, 1170, 1714, 1817, 1334, 409, 1722, 1567}"
graph_size_3000_k_0.5,3000,54154923,1016,1.7722558975219727,12,"{98, 1251, 1092, 1803, 2095, 50, 2551, 218, 923, 2333, 2590, 2655}"
graph_size_3100_k_0.5,3100,56150403,1054,1.8148846626281738,13,"{2497, 2563, 1061, 971, 235, 2703, 656, 913, 2095, 1234, 1078, 1239, 1626}"
graph_size_3200_k_0.5,3200,58194415,1056,1.8752861022949219,13,"{3041, 675, 1284, 805, 777, 2987, 588, 2680, 814, 1463, 152, 58, 2236}"
graph_size_3300_k_0.5,3300,60130123,991,1.952946662902832,13,"{2049, 166, 2503, 422, 137, 811, 2412, 335, 305, 2516, 2203, 60, 1247}"
graph_size_3400_k_0.5,3400,62007211,1033,2.031463146209717,12,"{135, 247, 1419, 2923, 123, 3342, 2671, 1779, 2134, 1239, 56, 2267}"
graph_size_3500_k_0.5,3500,64239845,1057,2.079688549041748,13,"{2240, 1474, 3107, 3394, 2626, 2985, 108, 1485, 2835, 1491, 2264, 2812, 1694}"
