Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.25,100,699,831,0.00014710426330566406,17,"{66, 35, 38, 8, 40, 76, 16, 48, 50, 84, 86, 55, 24, 27, 92, 30, 63}"
graph_size_200_k_0.25,200,1563,619,0.0002446174621582031,17,"{3, 36, 197, 71, 41, 13, 78, 49, 147, 84, 149, 19, 22, 184, 89, 61, 159}"
graph_size_300_k_0.25,300,2509,923,0.0003466606140136719,20,"{2, 266, 15, 145, 280, 27, 287, 288, 160, 40, 185, 59, 70, 199, 206, 90, 95, 103, 233, 106}"
graph_size_400_k_0.25,400,3498,1124,0.00048422813415527344,20,"{133, 147, 25, 29, 291, 171, 172, 182, 185, 65, 325, 335, 336, 210, 224, 228, 105, 235, 364, 245}"
graph_size_500_k_0.25,500,4525,1135,0.0005917549133300781,21,"{261, 12, 143, 23, 413, 168, 169, 43, 173, 50, 436, 54, 440, 445, 197, 330, 211, 216, 362, 246, 378}"
graph_size_600_k_0.25,600,5578,991,0.0007357597351074219,20,"{260, 525, 270, 526, 19, 24, 410, 563, 60, 446, 451, 580, 585, 80, 468, 352, 102, 243, 252, 382}"
graph_size_700_k_0.25,700,6658,964,0.0008120536804199219,21,"{3, 391, 523, 39, 554, 442, 443, 571, 188, 189, 585, 73, 465, 215, 602, 222, 480, 96, 358, 367, 112}"
graph_size_800_k_0.25,800,7758,951,0.0009562969207763672,21,"{391, 138, 539, 30, 545, 165, 294, 678, 306, 182, 440, 441, 701, 575, 70, 724, 341, 347, 355, 493, 250}"
graph_size_900_k_0.25,900,8871,741,0.0010335445404052734,19,"{260, 776, 403, 795, 669, 182, 442, 193, 194, 834, 324, 220, 482, 869, 238, 495, 755, 120, 761}"
graph_size_1000_k_0.25,1000,10012,1397,0.0012390613555908203,23,"{128, 262, 11, 140, 669, 291, 687, 306, 182, 55, 695, 185, 825, 956, 196, 199, 459, 205, 211, 218, 487, 496, 756}"
graph_size_1100_k_0.25,1100,11156,1085,0.0013580322265625,21,"{645, 777, 783, 655, 150, 537, 38, 569, 700, 959, 319, 65, 969, 722, 342, 471, 870, 873, 630, 887, 892}"
graph_size_1200_k_0.25,1200,12323,1011,0.0015478134155273438,24,"{388, 9, 779, 915, 532, 667, 1180, 1182, 549, 706, 216, 345, 351, 866, 99, 1123, 614, 359, 104, 489, 497, 625, 633, 510}"
graph_size_1300_k_0.25,1300,13496,1290,0.0016913414001464844,24,"{3, 1030, 263, 524, 782, 143, 152, 792, 42, 44, 686, 944, 946, 1204, 700, 1225, 1098, 1234, 733, 96, 997, 103, 1016, 764}"
graph_size_1400_k_0.25,1400,14678,1048,0.0018222332000732422,23,"{132, 383, 1291, 142, 281, 1178, 417, 292, 564, 74, 588, 465, 209, 83, 85, 987, 477, 1388, 1392, 496, 758, 766, 255}"
graph_size_1500_k_0.25,1500,15873,998,0.001912832260131836,23,"{1027, 518, 907, 1420, 659, 532, 1177, 36, 1195, 1327, 1203, 697, 185, 63, 1229, 846, 847, 1361, 91, 477, 350, 379, 1020}"
graph_size_1600_k_0.25,1600,17077,1220,0.0020673274993896484,23,"{768, 516, 1297, 280, 1434, 419, 1322, 813, 1207, 1210, 321, 1481, 844, 336, 340, 988, 612, 1383, 1519, 1013, 1274, 251, 1278}"
graph_size_1700_k_0.25,1700,18294,1312,0.002236604690551758,25,"{1664, 1544, 910, 1426, 1555, 1433, 1309, 32, 548, 1573, 1317, 554, 557, 566, 696, 826, 444, 1471, 960, 450, 1493, 619, 1005, 113, 763}"
graph_size_1800_k_0.25,1800,19507,1053,0.002283334732055664,21,"{402, 27, 30, 558, 1459, 1203, 1082, 1344, 65, 707, 1608, 840, 1744, 852, 1627, 1761, 100, 106, 1774, 497, 758}"
graph_size_1900_k_0.25,1900,20741,1323,0.002495288848876953,23,"{528, 529, 1298, 533, 1048, 1820, 413, 1182, 284, 1568, 1442, 803, 1191, 1202, 1476, 328, 842, 1741, 1364, 1244, 353, 870, 370}"
graph_size_2000_k_0.25,2000,21978,941,0.0026471614837646484,23,"{136, 393, 1553, 1939, 1172, 1177, 1947, 1070, 1478, 1225, 1867, 79, 1361, 467, 726, 1751, 984, 1628, 351, 863, 1633, 1643, 875}"
graph_size_2100_k_0.25,2100,23222,1288,0.002742290496826172,23,"{1537, 1053, 172, 1967, 1590, 1208, 699, 449, 1609, 1610, 1743, 85, 1756, 2013, 991, 864, 2017, 486, 1128, 1902, 1264, 243, 1023}"
graph_size_2200_k_0.25,2200,24476,911,0.0028667449951171875,24,"{256, 1153, 1283, 1668, 771, 901, 1927, 801, 46, 47, 821, 1216, 68, 1356, 221, 1758, 1890, 1381, 618, 1516, 495, 757, 1655, 766}"
graph_size_2300_k_0.25,2300,25730,993,0.0030007362365722656,22,"{1542, 15, 413, 157, 1449, 1963, 1206, 1087, 1859, 68, 1477, 77, 1103, 1234, 1109, 616, 748, 2034, 627, 756, 2038, 766}"
graph_size_2400_k_0.25,2400,26998,1326,0.003290414810180664,24,"{390, 2314, 22, 1303, 1689, 542, 2339, 1322, 1963, 2107, 65, 201, 74, 1227, 1882, 1119, 863, 1378, 1126, 1132, 1389, 1645, 1271, 2043}"
graph_size_2500_k_0.25,2500,28268,1282,0.0034694671630859375,24,"{1937, 1308, 1949, 162, 46, 1455, 706, 586, 75, 1102, 1240, 1760, 1893, 358, 2407, 1126, 234, 2029, 498, 1267, 1269, 374, 630, 1144}"
graph_size_2600_k_0.25,2600,29542,1128,0.003444671630859375,23,"{2434, 2179, 900, 519, 797, 1443, 2343, 1065, 1449, 2098, 1976, 68, 977, 2132, 2399, 1897, 363, 2160, 497, 2033, 1011, 1140, 251}"
graph_size_2700_k_0.25,2700,30823,1238,0.0034661293029785156,23,"{2215, 936, 815, 1327, 1077, 822, 1859, 2506, 725, 600, 1113, 1374, 2145, 870, 361, 1261, 113, 2420, 2549, 2552, 1658, 638, 2431}"
graph_size_2800_k_0.25,2800,32116,1458,0.003652811050415039,26,"{1292, 1552, 276, 2326, 1303, 1304, 667, 669, 1443, 1574, 2344, 63, 2240, 1219, 328, 1865, 1099, 2384, 1876, 602, 610, 2028, 1645, 1262, 2542, 1529}"
graph_size_2900_k_0.25,2900,33404,1415,0.0038933753967285156,24,"{2435, 1028, 144, 668, 1053, 2719, 2080, 2468, 2215, 688, 1589, 2870, 2617, 577, 715, 333, 1367, 600, 608, 1255, 1256, 1769, 1007, 2684}"
graph_size_3000_k_0.25,3000,34709,1331,0.003914356231689453,28,"{1668, 389, 908, 782, 18, 2067, 793, 158, 2464, 2984, 1709, 2478, 2617, 1340, 2367, 2249, 74, 2382, 2902, 1629, 864, 1125, 614, 2791, 2922, 620, 493, 630}"
graph_size_3100_k_0.25,3100,36000,1271,0.004164218902587891,23,"{1034, 1297, 3090, 666, 1693, 159, 1832, 50, 309, 1855, 704, 1984, 967, 2649, 2014, 2911, 2406, 359, 748, 2670, 2552, 380, 2559}"
graph_size_3200_k_0.25,3200,37309,1189,0.004342317581176758,24,"{1031, 1171, 2196, 30, 798, 801, 3105, 676, 1575, 1323, 55, 2493, 451, 1225, 1996, 718, 2009, 2663, 2285, 2159, 2290, 1523, 890, 2171}"
graph_size_3300_k_0.25,3300,38622,1386,0.004683971405029297,25,"{897, 1027, 1669, 649, 650, 1167, 272, 923, 2588, 797, 1308, 2204, 2351, 560, 2994, 53, 2109, 2502, 1096, 1872, 1233, 2387, 2515, 2774, 2662}"
graph_size_3400_k_0.25,3400,39943,1466,0.004455089569091797,28,"{130, 3330, 2707, 405, 279, 665, 1563, 159, 1951, 1697, 3108, 2340, 3365, 2217, 820, 3130, 3389, 1345, 2244, 1244, 1508, 1896, 1770, 2157, 2927, 630, 1273, 2555}"
graph_size_3500_k_0.25,3500,41256,1383,0.004703044891357422,25,"{2688, 2698, 3211, 1421, 1938, 2840, 1692, 1188, 933, 809, 50, 437, 1080, 2756, 838, 594, 2648, 1503, 2533, 1253, 362, 3319, 376, 1785, 1274}"
