Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_2000_k_0.125,2000,36324051,2871,4.16682243347168,44,"{1026, 1666, 644, 903, 9, 13, 529, 20, 1567, 1823, 1185, 1313, 288, 932, 421, 554, 1325, 689, 53, 1846, 1079, 185, 827, 1343, 1216, 1741, 1359, 978, 214, 1495, 1111, 1240, 87, 1626, 1122, 232, 1641, 1257, 1256, 242, 1781, 1143, 1912, 890}"
graph_size_2100_k_0.125,2100,38408207,2854,4.469959735870361,45,"{256, 2, 131, 515, 1925, 1287, 1800, 1033, 393, 268, 397, 1933, 1680, 529, 1813, 151, 1434, 1307, 924, 1055, 1441, 1702, 2086, 1199, 816, 1077, 183, 187, 963, 714, 1868, 1487, 1878, 480, 1765, 2028, 237, 366, 751, 1650, 498, 1522, 1013, 1273, 1279}"
graph_size_2200_k_0.125,2200,40441776,2922,4.698251485824585,45,"{513, 1675, 142, 399, 1812, 1432, 410, 1567, 1065, 300, 814, 1073, 1716, 1077, 1334, 1466, 1344, 193, 1603, 196, 709, 2118, 714, 206, 1106, 1879, 2013, 2142, 351, 735, 480, 1509, 742, 615, 2156, 620, 2158, 111, 239, 1651, 756, 371, 1011, 761, 764}"
graph_size_2300_k_0.125,2300,42517632,2821,5.098225355148315,46,"{1280, 130, 262, 1672, 264, 1162, 395, 1036, 1933, 525, 404, 278, 1048, 1689, 1691, 1822, 1951, 301, 693, 185, 953, 1476, 965, 1480, 1609, 1613, 1742, 1230, 1744, 247, 219, 1632, 98, 1378, 1764, 2278, 1383, 361, 362, 1515, 2157, 887, 1529, 378, 1147, 1150}"
graph_size_2400_k_0.125,2400,44578927,2877,5.1254918575286865,47,"{131, 2055, 2059, 2316, 403, 1939, 534, 2208, 166, 1958, 2088, 296, 1194, 811, 430, 1586, 1971, 948, 181, 1972, 2109, 1854, 1342, 1600, 2368, 578, 2124, 1614, 591, 1745, 2002, 1748, 1241, 2395, 348, 1374, 1505, 353, 1378, 1636, 997, 2145, 1518, 1009, 371, 247, 2171}"
graph_size_2500_k_0.125,2500,46730587,3063,5.323923349380493,46,"{1795, 1155, 2308, 1797, 1159, 2312, 9, 650, 1804, 789, 1177, 1150, 1306, 924, 1309, 2210, 293, 166, 1958, 422, 681, 1193, 810, 1968, 1081, 1346, 963, 969, 1097, 1100, 1229, 2254, 207, 211, 981, 1754, 1757, 1502, 2277, 1254, 2152, 1645, 2169, 1786, 123, 126}"
graph_size_2600_k_0.125,2600,48808721,3043,5.55586314201355,50,"{0, 902, 1671, 2185, 2321, 1425, 2075, 29, 1183, 671, 1953, 1832, 1320, 2093, 2224, 177, 2484, 693, 53, 439, 441, 2238, 2113, 1091, 2117, 586, 2127, 208, 853, 599, 2520, 91, 1244, 734, 1119, 1632, 2273, 1379, 356, 2022, 1383, 2024, 2031, 1266, 2038, 119, 1914, 1148, 2301, 1279}"
graph_size_2700_k_0.125,2700,50938622,2984,5.801592826843262,48,"{1792, 642, 1540, 1799, 136, 1163, 1804, 653, 1035, 269, 1426, 1685, 1687, 2328, 1316, 1061, 554, 2094, 311, 56, 1209, 1215, 1473, 194, 2371, 1861, 2374, 2375, 837, 1611, 2510, 1365, 854, 1501, 733, 224, 1125, 2022, 1895, 1260, 1518, 1008, 2035, 2421, 118, 630, 1401, 638}"
graph_size_2800_k_0.125,2800,53102826,3077,5.995096683502197,46,"{2311, 906, 527, 2581, 280, 2588, 1440, 1315, 2468, 1190, 1968, 2610, 1075, 695, 2488, 2746, 2491, 2236, 63, 577, 578, 1347, 1474, 1092, 1481, 970, 1355, 1483, 1358, 2255, 2767, 1746, 2130, 2516, 2773, 2006, 2263, 1115, 2532, 2662, 1385, 2154, 2157, 112, 2290, 2554}"
graph_size_2900_k_0.125,2900,55219699,3058,6.152697801589966,52,"{386, 1411, 514, 2057, 1546, 2701, 1043, 1149, 1943, 1816, 1952, 1963, 1711, 2353, 307, 1593, 1083, 955, 2492, 1853, 1723, 2494, 2625, 1353, 718, 209, 2386, 2515, 851, 1364, 1751, 600, 2266, 731, 1628, 1499, 483, 100, 2022, 1511, 2537, 495, 2290, 1779, 756, 1397, 2423, 1785, 378, 892, 2813, 1022}"
graph_size_3000_k_0.125,3000,57285907,3006,6.459459543228149,48,"{1028, 140, 2318, 1809, 148, 31, 159, 2850, 554, 1194, 2860, 2098, 2994, 1846, 1850, 2107, 2620, 1215, 2239, 1348, 198, 72, 2761, 1997, 2382, 2000, 210, 2386, 2261, 984, 345, 858, 2139, 2014, 1632, 97, 739, 2276, 1766, 635, 2156, 2924, 1134, 1135, 369, 1652, 1787, 1532}"
graph_size_3100_k_0.125,3100,59448842,3140,6.754873514175415,47,"{2688, 1540, 3076, 3079, 2184, 2446, 654, 2322, 659, 1314, 2595, 162, 1445, 1317, 2471, 1960, 809, 298, 1198, 1712, 1332, 1846, 1849, 57, 3001, 2110, 1602, 579, 964, 455, 1355, 1743, 1364, 472, 2907, 2395, 480, 2145, 229, 2540, 1644, 2801, 369, 1014, 2169, 3069, 2431}"
graph_size_3200_k_0.125,3200,61677846,3215,6.833566427230835,49,"{2434, 2435, 1284, 1033, 138, 1547, 2194, 1170, 1939, 1173, 280, 1048, 2331, 667, 1437, 2339, 1324, 814, 2735, 815, 1716, 824, 1465, 2492, 957, 1603, 709, 2759, 2248, 3018, 458, 2382, 2128, 1746, 594, 214, 87, 2524, 2910, 479, 3047, 3055, 2801, 2292, 3062, 2679, 2808, 3066, 892}"
graph_size_3300_k_0.125,3300,63827841,3013,7.135896444320679,47,"{2691, 2058, 2059, 2704, 787, 3092, 2069, 2454, 152, 1305, 3235, 292, 805, 171, 1708, 1453, 173, 1711, 561, 2867, 1337, 60, 1724, 2878, 3008, 578, 843, 76, 2637, 2389, 2262, 471, 216, 2778, 1754, 2397, 3167, 743, 2159, 2160, 1391, 2805, 118, 120, 2169, 3194, 507}"
graph_size_3400_k_0.125,3400,65956968,3064,7.373655796051025,51,"{2692, 134, 903, 1039, 1296, 2706, 1172, 791, 1176, 1816, 2970, 2585, 2041, 1441, 2466, 422, 2858, 2224, 562, 3124, 950, 569, 2618, 3260, 2109, 2113, 707, 451, 1095, 1098, 842, 1485, 717, 2509, 2512, 81, 2001, 3032, 2781, 1502, 2527, 2912, 3042, 3173, 2022, 1896, 496, 1521, 2293, 3318, 1017}"
graph_size_3500_k_0.125,3500,68111812,3077,7.53650689125061,50,"{128, 2945, 259, 521, 2954, 2701, 527, 399, 405, 2205, 1442, 554, 555, 2347, 1327, 176, 2863, 1199, 947, 1204, 1849, 445, 2368, 1474, 2243, 2372, 3013, 583, 1097, 331, 2508, 1749, 3162, 3293, 1758, 2655, 1760, 1376, 2402, 607, 2916, 1380, 2661, 1643, 3054, 2033, 1268, 2039, 761, 3198}"
