Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
100,673,308,0.003793478012084961,"{10, 44, 77, 39}"
200,1537,315,0.0009996891021728516,"{37, 10, 3, 77}"
300,2479,368,0.009000301361083984,"{196, 201, 10, 237, 54}"
400,3468,454,0.0009999275207519531,"{323, 296, 10, 55, 317}"
500,4493,428,0.002413511276245117,"{422, 327, 10, 334, 119}"
600,5550,402,0.0013990402221679688,"{386, 10, 304, 369, 119, 474}"
700,6626,382,0.001001596450805664,"{166, 10, 308, 342, 56}"
800,7724,394,0.005998849868774414,"{56, 10, 459, 462}"
900,8845,492,0.0029997825622558594,"{10, 428, 813, 879, 56, 27}"
1000,9976,450,0.0029993057250976562,"{929, 580, 296, 10, 974}"
1100,11126,447,0.002941131591796875,"{963, 579, 10, 884, 1048, 127}"
1200,12285,484,0.0020084381103515625,"{10, 629, 56, 541, 1086}"
1300,13460,551,0.010001182556152344,"{710, 10, 273, 119, 376, 827}"
1400,14644,546,0.0029993057250976562,"{10, 811, 588, 594, 917, 63}"
1500,15839,497,0.002886056900024414,"{10, 369, 786, 691, 56, 283}"
1600,17041,472,0.006999969482421875,"{1065, 10, 811, 1432, 283}"
1700,18256,518,0.003000497817993164,"{963, 10, 394, 152, 698, 1694}"
1800,19477,482,0.003998994827270508,"{10, 172, 694, 119, 56, 216}"
1900,20707,536,0.005442619323730469,"{10, 459, 172, 815, 56, 761}"
2000,21944,515,0.009000778198242188,"{545, 10, 1775, 1170, 119, 989}"
2100,23188,551,0.004997968673706055,"{1256, 10, 811, 784, 113, 1308}"
2200,24440,495,0.0040013790130615234,"{2120, 10, 1709, 1715, 1045, 152}"
2300,25698,514,0.005000591278076172,"{933, 10, 206, 1397, 1724, 317}"
2400,26964,536,0.0050008296966552734,"{10, 1166, 273, 2196, 598, 119, 1567}"
2500,28232,523,0.006715297698974609,"{967, 1513, 10, 1236, 2261, 119}"
2600,29508,552,0.007000446319580078,"{10, 335, 2387, 56, 731, 127}"
2700,30791,620,0.0056781768798828125,"{2563, 10, 2156, 431, 2160, 1397, 439}"
2800,32076,507,0.011008739471435547,"{422, 1030, 1385, 10, 2649, 2170}"
2900,33368,540,0.005468845367431641,"{1952, 2022, 10, 811, 1715, 1499}"
3000,34667,656,0.008011102676391602,"{2503, 10, 554, 2156, 715, 1877, 731}"
3100,35964,491,0.0070002079010009766,"{2563, 1990, 10, 1401, 731}"
3200,37273,572,0.006787776947021484,"{2697, 10, 619, 1938, 56, 1502}"
3300,38586,553,0.009004831314086914,"{2724, 1317, 1033, 10, 1001, 56, 731}"
3400,39899,512,0.008552789688110352,"{864, 323, 2661, 5, 10, 811}"
3500,41218,545,0.0039958953857421875,"{98, 963, 10, 2283, 56, 2557}"
