Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
1,1,15,0.0004215240478515625,1,{0}
2,2251,52,0.005652189254760742,1,{1}
3,3533,86,0.006048440933227539,2,"{1, 2}"
4,3751,125,0.005361080169677734,2,"{1, 3}"
5,5728,159,0.007993459701538086,3,"{1, 2, 3}"
6,7752,125,0.0075457096099853516,2,"{1, 3}"
7,9169,187,0.008522272109985352,3,"{1, 3, 6}"
8,11462,125,0.009091854095458984,2,"{1, 3}"
9,14122,169,0.011140108108520508,3,"{2, 3, 6}"
10,15784,155,0.009220123291015625,3,"{0, 6, 7}"
11,18567,264,0.011584758758544922,4,"{8, 1, 10, 7}"
12,20617,240,0.012450933456420898,3,"{10, 6, 7}"
13,22082,236,0.012183666229248047,4,"{8, 10, 12, 6}"
14,23981,326,0.014071464538574219,4,"{9, 10, 13, 7}"
15,25928,303,0.014039993286132812,4,"{9, 10, 6, 7}"
16,29323,325,0.01408839225769043,4,"{10, 13, 6, 7}"
17,30759,320,0.014148235321044922,4,"{10, 3, 13, 6}"
18,33744,304,0.015487432479858398,6,"{5, 9, 11, 12, 13, 14}"
19,35580,247,0.016009807586669922,5,"{4, 8, 10, 11, 14}"
20,38014,312,0.0168304443359375,5,"{3, 4, 8, 10, 13}"
21,40144,314,0.018648862838745117,4,"{9, 10, 3, 7}"
22,43389,299,0.018513917922973633,6,"{3, 4, 6, 13, 15, 17}"
23,43690,279,0.017426729202270508,5,"{6, 7, 15, 19, 22}"
24,48537,360,0.0189361572265625,5,"{3, 7, 10, 11, 15}"
25,49079,349,0.019304990768432617,5,"{3, 6, 10, 12, 22}"
26,52134,366,0.019755125045776367,6,"{3, 9, 15, 19, 22, 25}"
27,56051,377,0.020574092864990234,5,"{1, 9, 13, 23, 25}"
28,58082,313,0.020238399505615234,4,"{10, 3, 6, 7}"
29,59644,328,0.020256519317626953,4,"{25, 13, 22, 7}"
30,63050,370,0.02167797088623047,6,"{2, 10, 13, 15, 19, 23}"
31,67073,387,0.02191448211669922,6,"{2, 7, 11, 13, 20, 25}"
32,70988,419,0.0227968692779541,6,"{10, 12, 13, 14, 22, 25}"
33,70248,346,0.023151636123657227,6,"{32, 12, 13, 22, 28, 31}"
34,74405,358,0.025048255920410156,5,"{32, 7, 9, 11, 29}"
35,78839,417,0.025440454483032227,6,"{33, 34, 9, 10, 11, 13}"
36,79163,393,0.024082183837890625,6,"{2, 3, 9, 11, 13, 22}"
37,81076,334,0.02399468421936035,5,"{9, 10, 13, 17, 29}"
38,84848,432,0.025200843811035156,6,"{34, 9, 10, 13, 20, 22}"
39,89366,451,0.02743816375732422,7,"{32, 3, 37, 11, 22, 25, 28}"
40,91983,436,0.02729058265686035,6,"{3, 35, 7, 9, 10, 22}"
41,95800,457,0.027081012725830078,6,"{32, 3, 7, 8, 10, 25}"
42,97125,450,0.02801036834716797,7,"{33, 35, 6, 7, 10, 25, 30}"
43,101445,409,0.028887033462524414,7,"{1, 7, 11, 13, 18, 23, 28}"
44,101863,434,0.029428720474243164,6,"{34, 3, 37, 7, 10, 11}"
45,105596,536,0.029491424560546875,7,"{3, 39, 7, 9, 10, 13, 25}"
46,107381,427,0.029575586318969727,6,"{32, 7, 10, 45, 22, 29}"
47,111283,401,0.030980825424194336,6,"{3, 7, 40, 11, 14, 25}"
48,116993,439,0.030515670776367188,7,"{32, 1, 34, 6, 9, 18, 23}"
49,116952,489,0.030156612396240234,8,"{34, 7, 11, 44, 13, 16, 20, 22}"
50,119080,441,0.03159356117248535,7,"{32, 34, 6, 7, 15, 17, 23}"
51,123414,452,0.0308685302734375,7,"{32, 35, 5, 7, 15, 23, 25}"
52,123655,441,0.03592085838317871,6,"{10, 44, 51, 23, 24, 25}"
