Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
111,767,440,0.0,"{10, 108, 56, 60, 93, 95}"
112,779,481,0.0,"{101, 8, 10, 45, 61, 59, 93, 31}"
113,783,368,0.0,"{72, 73, 10, 11, 51, 56}"
114,789,461,0.0,"{97, 10, 113, 56, 58}"
115,804,509,0.0,"{97, 10, 107, 77, 48, 114, 56, 24}"
116,808,465,0.0,"{10, 77, 113, 22, 94, 63}"
117,816,439,0.0,"{1, 101, 7, 10, 77, 82}"
118,825,480,0.0,"{100, 7, 10, 106, 42, 56}"
119,835,546,0.0,"{70, 10, 106, 113, 81, 31, 63}"
120,841,464,0.0,"{104, 10, 108, 15, 80, 119}"
121,850,535,0.0,"{65, 34, 10, 77, 119, 63}"
122,860,502,0.0,"{34, 67, 39, 10, 76, 51, 119}"
123,868,427,0.0,"{96, 69, 72, 10, 106, 56, 89}"
124,875,555,0.0,"{104, 10, 50, 56, 93, 63}"
125,885,568,0.0,"{37, 59, 10, 113, 117, 22, 123}"
126,894,480,0.0,"{10, 11, 108, 77, 79, 49, 63}"
127,900,513,0.0,"{38, 10, 77, 50, 56, 59}"
128,908,563,0.0,"{96, 10, 77, 53, 56, 93}"
129,919,585,0.0,"{96, 8, 10, 76, 13, 77, 119}"
130,925,397,0.0,"{36, 7, 10, 106, 21, 119}"
131,936,516,0.0,"{105, 10, 106, 50, 23, 56, 57}"
132,944,507,0.0,"{130, 10, 75, 50, 52, 86, 56}"
133,953,474,0.0,"{40, 10, 46, 18, 86, 56, 93}"
134,959,475,0.0,"{32, 10, 46, 113, 119, 123}"
135,970,542,0.0,"{128, 132, 10, 109, 51, 56, 59}"
136,976,469,0.0,"{96, 100, 72, 10, 119, 56}"
137,985,528,0.0,"{97, 10, 109, 119, 56, 58}"
138,995,517,0.0,"{105, 10, 43, 83, 22, 119, 59}"
139,1002,484,0.0,"{135, 10, 106, 77, 113, 26}"
140,1013,496,0.0,"{37, 10, 138, 20, 56, 120, 63}"
141,1021,623,0.0,"{97, 10, 140, 44, 112, 119, 93}"
142,1032,565,0.0,"{137, 10, 59, 138, 109, 79, 49, 123}"
143,1036,514,0.0,"{34, 10, 106, 77, 15, 119}"
144,1049,697,0.0,"{96, 34, 10, 139, 51, 53, 56, 59}"
145,1056,513,0.0,"{3, 135, 10, 50, 56, 122, 94}"
146,1064,550,0.0,"{135, 10, 11, 113, 50, 119, 61}"
147,1071,499,0.0,"{10, 76, 50, 19, 119, 93}"
148,1079,553,0.0,"{136, 10, 138, 56, 93, 63}"
149,1090,521,0.0,"{130, 71, 10, 106, 13, 16, 56}"
150,1097,524,0.0,"{10, 138, 12, 77, 25, 63}"
151,1109,553,0.0,"{37, 5, 10, 138, 110, 15, 86, 63}"
152,1116,565,0.0,"{96, 6, 10, 84, 56, 90, 63}"
153,1125,587,0.0010001659393310547,"{10, 138, 142, 50, 86, 59, 93}"
154,1130,455,0.0,"{6, 10, 138, 113, 56}"
155,1144,550,0.0,"{131, 100, 9, 10, 73, 141, 56, 123}"
156,1151,589,0.0,"{96, 10, 143, 50, 117, 23, 56}"
157,1160,621,0.0,"{97, 10, 83, 119, 56, 25, 151}"
158,1166,545,0.0,"{10, 106, 81, 119, 93, 127}"
159,1177,542,0.0,"{10, 106, 110, 145, 56, 58, 28}"
160,1188,648,0.0,"{97, 70, 10, 44, 77, 113, 56, 126}"
161,1197,649,0.0,"{10, 138, 109, 46, 23, 119, 127, 63}"
162,1206,631,0.0,"{5, 137, 10, 106, 77, 109, 83, 117}"
163,1212,607,0.0,"{7, 10, 43, 83, 119, 56, 93}"
164,1219,562,0.0,"{10, 138, 76, 112, 56, 63}"
165,1230,512,0.0,"{3, 163, 10, 53, 150, 152, 127}"
166,1239,574,0.0,"{104, 10, 77, 119, 56, 26, 152}"
167,1246,546,0.0,"{65, 137, 10, 138, 113, 56}"
168,1256,548,0.0,"{97, 137, 10, 20, 56, 30, 127}"
169,1265,612,0.0,"{135, 10, 152, 148, 56, 156, 93}"
170,1272,542,0.0,"{10, 117, 119, 56, 29, 127}"
171,1285,585,0.0,"{128, 161, 162, 10, 107, 77, 109, 152}"
172,1296,764,0.0,"{166, 135, 168, 10, 56, 90, 91, 152, 127}"
173,1299,529,0.0,"{10, 43, 77, 50, 56, 127}"
174,1306,455,0.0,"{10, 44, 77, 56, 59}"
175,1318,601,0.0,"{101, 10, 138, 170, 77, 113, 50}"
176,1327,477,0.0,"{32, 67, 10, 138, 77, 116, 59}"
177,1336,466,0.0,"{10, 138, 47, 112, 81, 85, 152}"
178,1341,478,0.0,"{164, 10, 106, 77, 56}"
179,1352,561,0.0,"{97, 135, 10, 138, 108, 56}"
180,1367,599,0.0010006427764892578,"{39, 72, 103, 10, 11, 76, 50, 119, 63}"
181,1372,559,0.0,"{32, 10, 29, 118, 152, 123, 93}"
182,1379,518,0.0010001659393310547,"{34, 10, 51, 56, 122, 93}"
